"Minutes","Count"
"-1",18
"-2",7
"-3",1
"-4",1
"-5",0
"-6",2
"-7",4
"-8",1
"-9",1
"-10",3
"-11",5
"-12",4
"-13",2
"-14",2
"-15",1
"-16",2
"-17",2
"-18",4
"-19",1
"-20",1
"-21",1
"-22",1
"-23",0
"-24",0
"-25",1
"-26",0
"-27",0
"-28",1
"-29",0
"-30",0
"-31",1
"-32",1
"-33",0
"-34",0
"-35",1
